ngram_n,term,pooled_log_odds_z,positive_direction_industries,dominant_industry,dominant_industry_share_of_boundary_positive_occurrences,diagnostic_label,industry_details
1,check,3.5998857803569972,4,law,0.35714285714285715,broad_cross_industry,"finance: pos_df=22/190, neg_df=1/310, direction=positive | healthcare: pos_df=12/241, neg_df=3/259, direction=positive | law: pos_df=21/243, neg_df=1/257, direction=positive | software_engineering: pos_df=8/187, neg_df=1/313, direction=positive"
1,cases,3.4831945399445425,4,law,0.7023809523809523,industry_concentrated,"finance: pos_df=2/190, neg_df=3/310, direction=positive | healthcare: pos_df=8/241, neg_df=2/259, direction=positive | law: pos_df=32/243, neg_df=3/257, direction=positive | software_engineering: pos_df=10/187, neg_df=6/313, direction=positive"
1,trust,3.2170827612498707,4,software_engineering,0.3157894736842105,broad_cross_industry,"finance: pos_df=9/190, neg_df=1/310, direction=positive | healthcare: pos_df=15/241, neg_df=1/259, direction=positive | law: pos_df=12/243, neg_df=2/257, direction=positive | software_engineering: pos_df=15/187, neg_df=1/313, direction=positive"
1,draft,2.8558673607898437,4,law,0.6744186046511628,industry_concentrated,"finance: pos_df=5/190, neg_df=0/310, direction=positive | healthcare: pos_df=5/241, neg_df=1/259, direction=positive | law: pos_df=19/243, neg_df=3/257, direction=positive | software_engineering: pos_df=2/187, neg_df=0/313, direction=positive"
1,review,2.747095980458013,4,software_engineering,0.3387096774193548,broad_cross_industry,"finance: pos_df=11/190, neg_df=2/310, direction=positive | healthcare: pos_df=8/241, neg_df=1/259, direction=positive | law: pos_df=18/243, neg_df=4/257, direction=positive | software_engineering: pos_df=16/187, neg_df=4/313, direction=positive"
1,verify,2.7028346267757857,4,finance,0.39285714285714285,broad_cross_industry,"finance: pos_df=10/190, neg_df=0/310, direction=positive | healthcare: pos_df=3/241, neg_df=0/259, direction=positive | law: pos_df=4/243, neg_df=0/257, direction=positive | software_engineering: pos_df=7/187, neg_df=0/313, direction=positive"
1,use,2.6216989283870755,4,law,0.3190883190883191,broad_cross_industry,"finance: pos_df=45/190, neg_df=46/310, direction=positive | healthcare: pos_df=67/241, neg_df=26/259, direction=positive | law: pos_df=68/243, neg_df=31/257, direction=positive | software_engineering: pos_df=55/187, neg_df=49/313, direction=positive"
1,output,2.4933845627878237,4,software_engineering,0.4,broad_cross_industry,"finance: pos_df=9/190, neg_df=0/310, direction=positive | healthcare: pos_df=4/241, neg_df=3/259, direction=positive | law: pos_df=8/243, neg_df=2/257, direction=positive | software_engineering: pos_df=15/187, neg_df=3/313, direction=positive"
1,documents,2.4022359604107963,4,law,0.5833333333333334,broad_cross_industry,"finance: pos_df=7/190, neg_df=3/310, direction=positive | healthcare: pos_df=2/241, neg_df=0/259, direction=positive | law: pos_df=17/243, neg_df=2/257, direction=positive | software_engineering: pos_df=4/187, neg_df=0/313, direction=positive"
1,correct,2.321544641056928,4,finance,0.5,broad_cross_industry,"finance: pos_df=20/190, neg_df=2/310, direction=positive | healthcare: pos_df=6/241, neg_df=3/259, direction=positive | law: pos_df=9/243, neg_df=4/257, direction=positive | software_engineering: pos_df=8/187, neg_df=2/313, direction=positive"
1,hipaa,2.2260761498572967,1,healthcare,1.0,industry_concentrated,"finance: pos_df=0/190, neg_df=0/310, direction=positive | healthcare: pos_df=15/241, neg_df=0/259, direction=positive | law: pos_df=0/243, neg_df=0/257, direction=positive | software_engineering: pos_df=0/187, neg_df=0/313, direction=positive"
1,code,2.146734021331154,2,software_engineering,0.8689655172413793,industry_concentrated,"finance: pos_df=11/190, neg_df=5/310, direction=positive | healthcare: pos_df=1/241, neg_df=4/259, direction=negative | law: pos_df=2/243, neg_df=7/257, direction=negative | software_engineering: pos_df=66/187, neg_df=33/313, direction=positive"
